,"Vesdre, Chaudfontaine","Franse Maas, Chooz","Lesse, Gendron","Ambleve, Martinrive","Semois, Membre","Ourthe, Tabreux","Ourthe, Sauheid","Sambre, Salzinnes","Geul, Meerssen","Roer, Stah",Chooz (-Membre),"Niers, Goch","Maas, Borgharen"
1911-03-06,,,,,,,,,,,,,775.0
1911-12-25,,,,,,,,,,,,,1206.0
1912-01-08,,,,,,,,,,,,,1224.0
1912-03-23,,,,,,,,,,,,,864.0
1912-12-03,,,,,,,,,,,,,939.0
1912-12-29,,,,,,,,,,,,,775.0
1913-01-24,,,,,,,,,,,,,1139.0
1913-02-03,,,,,,,,,,,,,1114.0
1914-01-10,,,,,,,,,,,,,1606.0
1914-02-24,,,,,,,,,,,,,1069.0
1914-03-08,,,,,,,,,,,,,1034.0
1914-03-19,,,,,,,,,,,,,1379.0
1914-03-28,,,,,,,,,,,,,1218.0
1915-01-10,,,,,,,,,,,,,1254.0
1915-02-16,,,,,,,,,,,,,796.0
1915-12-14,,,,,,,,,,,,,1859.0
1915-12-28,,,,,,,,,,,,,1551.0
1916-02-20,,,,,,,,,,,,,1529.0
1916-04-21,,,,,,,,,,,,,889.0
1916-11-01,,,,,,,,,,,,,889.0
1916-11-09,,,,,,,,,,,,,796.0
1917-01-01,,,,,,,,,,,,,1589.0
1917-04-08,,,,,,,,,,,,,889.0
1918-01-18,,,,,,,,,,,,,1719.0
1918-04-28,,,,,,,,,,,,,754.0
1919-01-08,,,,,,,,,,,,,1139.0
1919-03-08,,,,,,,,,,,,,1034.0
1919-04-19,,,,,,,,,,,,,924.0
1919-12-09,,,,,,,,,,,,,1019.0
1919-12-26,,,,,,,,,,,,,1551.0
1920-01-15,,,,,,,,,,,,,2105.0
1920-02-02,,,,,,,,,,,,,766.0
1922-02-05,,,,,,,,,,,,,754.0
1922-04-06,,,,,,,,,,,,,766.0
1922-11-09,,,,,,,,,,,,,859.0
1922-12-21,,,,,,,,,,,,,1014.0
1923-01-01,,,,,,,,,,,,,1230.0
1923-02-03,,,,,,,,,,,,,964.0
1923-03-06,,,,,,,,,,,,,1194.0
1923-10-28,,,,,,,,,,,,,762.0
1923-12-31,,,,,,,,,,,,,989.0
1924-01-21,,,,,,,,,,,,,1039.0
1924-05-02,,,,,,,,,,,,,944.0
1924-11-04,,,,,,,,,,,,,1911.0
1925-01-06,,,,,,,,,,,,,1327.0
1925-01-31,,,,,,,,,,,,,775.0
1925-05-04,,,,,,,,,,,,,775.0
1925-11-10,,,,,,,,,,,,,989.0
1925-12-13,,,,,,,,,,,,,830.0
1926-01-01,,,,,,,,,,,,,3019.0
1926-02-05,,,,,,,,,,,,,770.0
1926-02-20,,,,,,,,,,,,,1155.0
1926-05-19,,,,,,,,,,,,,914.0
1926-11-03,,,,,,,,,,,,,1458.0
1927-01-17,,,,,,,,,,,,,762.0
1927-02-04,,,,,,,,,,,,,775.0
1927-04-09,,,,,,,,,,,,,821.0
1927-12-26,,,,,,,,,,,,,1014.0
1928-01-20,,,,,,,,,,,,,775.0
1928-02-13,,,,,,,,,,,,,1200.0
1928-11-27,,,,,,,,,,,,,1206.0
1928-12-30,,,,,,,,,,,,,989.0
1929-12-14,,,,,,,,,,,,,1014.0
1929-12-31,,,,,,,,,,,,,864.0
1930-01-13,,,,,,,,,,,,,766.0
1930-10-12,,,,,,,,,,,,,954.0
1930-11-06,,,,,,,,,,,,,1266.0
1930-11-25,,,,,,,,,,,,,1589.0
1931-01-05,,,,,,,,,,,,,1444.0
1931-01-31,,,,,,,,,,,,,1308.0
1931-03-03,,,,,,,,,,,,,1212.0
1931-08-28,,,,,,,,,,,,,964.0
1932-01-08,,,,,,,,,,,,,1134.0
1932-04-14,,,,,,,,,,,,,775.0
1932-10-16,,,,,,,,,,,,,839.0
1932-11-01,,,,,,,,,,,,,1230.0
1935-01-07,,,,,,,,,,,,,869.0
1935-02-05,,,,,,,,,,,,,1069.0
1935-02-17,,,,,,,,,,,,,949.0
1935-02-26,,,,,,,,,,,,,1019.0
1935-12-04,,,,,,,,,,,,,899.0
1936-01-05,,,,,,,,,,,,,1194.0
1936-01-22,,,,,,,,,,,,,939.0
1936-02-03,,,,,,,,,,,,,1014.0
1936-11-19,,,,,,,,,,,,,796.0
1937-01-08,,,,,,,,,,,,,1183.0
1937-01-28,,,,,,,,,,,,,796.0
1937-02-10,,,,,,,,,,,,,1094.0
1937-02-23,,,,,,,,,,,,,1411.0
1937-04-23,,,,,,,,,,,,,1392.0
1938-01-15,,,,,,,,,,,,,1544.0
1938-02-01,,,,,,,,,,,,,1024.0
1939-01-03,,,,,,,,,,,,,755.0
1939-01-25,,,,,,,,,,,,,1505.0
1939-10-27,,,,,,,,,,,,,759.0
1939-11-30,,,,,,,,,,,,,2084.0
1940-02-09,,,,,,,,,,,,,929.0
1940-03-19,,,,,,,,,,,,,974.0
1940-04-06,,,,,,,,,,,,,879.0
1940-11-06,,,,,,,,,,,,,1384.0
1940-12-12,,,,,,,,,,,,,831.0
1941-01-02,,,,,,,,,,,,,904.0
1941-01-29,,,,,,,,,,,,,1241.0
1941-03-03,,,,,,,,,,,,,979.0
1941-03-29,,,,,,,,,,,,,835.0
1941-12-19,,,,,,,,,,,,,780.0
1942-03-21,,,,,,,,,,,,,1160.0
1943-01-16,,,,,,,,,,,,,1289.0
1944-01-12,,,,,,,,,,,,,767.0
1944-10-20,,,,,,,,,,,,,959.0
1944-11-12,,,,,,,,,,,,,844.0
1944-11-26,,,,,,,,,,,,,1864.0
1944-12-10,,,,,,,,,,,,,1319.0
1945-02-13,,,,,,,,,,,,,1969.0
1946-02-06,,,,,,,,,,,,,1724.0
1946-02-24,,,,,,,,,,,,,969.0
1947-03-13,,,,,,,,,,,,,1068.0
1947-03-26,,,,,,,,,,,,,1013.0
1947-04-10,,,,,,,,,,,,,1523.0
1948-01-04,,,,,,,,,,,,,1523.0
1948-01-16,,,,,,,,,,,,,1568.0
1948-02-09,,,,,,,,,,,,,1023.0
1948-04-07,,,,,,,,,,,,,759.0
1948-07-11,,,,,,,,,,,,,813.0
1950-02-12,,,,,,,,,,,,,1287.0
1950-11-18,,,,,,,,,,,,8.4,763.0
1950-12-14,,,,,,,,,,,,12.9,973.0
1951-01-10,,,,,,,,,,,,11.6,1008.0
1951-01-21,,,,,,,,,,,,19.2,1513.0
1951-03-29,,,,,,,,,,,,12.5,912.0
1951-04-12,,,,,,,,,,,,12.8,782.0
1951-11-28,,,,,,,,,,,,9.21,813.0
1952-01-04,,,,,,,,,,,,17.9,1441.0
1952-01-13,,,,,,,,,,,,18.0,1658.0
1952-02-13,,,,,,,,,,,,21.3,1468.0
1952-03-31,,,,,,,,,,,,11.1,836.0
1952-11-09,,,,,,,,,,,,10.5,1100.0
1952-12-22,,,,,,,,,,,,20.6,1883.0
1953-02-12,,,,,,,,,,,,21.8,882.0
1955-01-19,,,,,,,,,,,,21.6,1388.0
